City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
102,Coihaique,CL,50.0,scattered clouds,-45.58,-72.07,Diego De Almagro Coyhaique
103,Ostrovnoy,RU,44.62,broken clouds,68.05,39.51,
104,Praia Da Vitoria,PT,66.2,broken clouds,38.73,-27.07,Hotel Branco I
105,Bambous Virieux,MU,73.99,shower rain,-20.34,57.76,Casa Tia Villa
106,Lagoa,PT,68.56,scattered clouds,39.05,-27.98,Casa Das Faias
107,Kindu,CD,70.63,overcast clouds,-2.95,25.95,Hotel Karibu
108,Rocha,UY,45.03,clear sky,-34.48,-54.33,Beleza Pura B&B
109,Riachao Das Neves,BR,72.46,light rain,-11.75,-44.91,Casa de vó Dina
110,Saldanha,ZA,53.22,clear sky,-33.01,17.94,Blue Bay Lodge
113,Amparafaravola,MG,67.84,overcast clouds,-17.58,48.22,Aina Franco
114,Lodja,CD,67.5,overcast clouds,-3.48,23.43,
115,Longyearbyen,SJ,26.6,few clouds,78.22,15.64,"Radisson Blu Polar Hotel, Spitsbergen"
116,Ulenje,TZ,60.1,scattered clouds,-8.93,33.68,
117,Puerto Del Rosario,ES,71.6,few clouds,28.5,-13.86,Hotel JM Puerto del Rosario
119,Codrington,AU,57.67,overcast clouds,-38.27,141.97,Codrington Gardens Bed And Breakfast
121,Sitges,ES,60.01,overcast clouds,41.24,1.81,URH Sitges Playa
122,Cayenne,GF,73.4,few clouds,4.93,-52.33,Hôtel Le Dronmi
123,Barra,BR,74.03,scattered clouds,-11.09,-43.14,Pousada Bahia
124,Chuy,UY,49.57,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
125,Dawlatabad,AF,48.36,scattered clouds,36.41,64.91,WASIM ASGAR KHAN
127,Thompson,CA,30.2,overcast clouds,55.74,-97.86,Burntwood Hotel
130,Dickson,US,68.0,moderate rain,36.08,-87.39,East Hills Bed & Breakfast Inn
132,Narsaq,GL,41.0,light rain,60.92,-46.05,Hotel Narsaq
133,Vestmannaeyjar,IS,48.56,heavy intensity rain,63.44,-20.27,Glamping & Camping
134,Togur,RU,29.14,broken clouds,58.36,82.83,
136,Mollendo,PE,59.25,overcast clouds,-17.02,-72.01,Hostal La Casa de Melgar
139,Portknockie,GB,50.0,overcast clouds,57.7,-2.86,Cullen Bay Hotel
141,Petrozavodsk,RU,44.6,overcast clouds,61.78,34.35,"Первый рыбный ресторан ""Фрегат"""
142,Tromso,NO,44.6,light intensity drizzle,69.65,18.96,"Radisson Blu Hotel, Tromsø"
145,Abu Samrah,SY,62.62,clear sky,35.3,37.18,
147,Grevesmuhlen,DE,43.0,overcast clouds,53.87,11.18,Ringhotel am See
148,Kalangala,UG,66.2,few clouds,-0.31,32.23,Ssese Habitat Resort
150,Sorochinsk,RU,39.74,overcast clouds,52.43,53.16,Hotel Skazka
151,Oksfjord,NO,46.99,overcast clouds,70.24,22.35,Bobo
153,Hofn,IS,43.54,overcast clouds,64.25,-15.21,Hótel Höfn
154,Visby,SE,51.01,few clouds,57.64,18.3,Best Western Solhem Hotel Visby
158,Buarcos,PT,61.0,clear sky,40.17,-8.88,Hotel Sweet Atlantic SPA
159,Buzuluk,RU,39.4,overcast clouds,52.78,52.26,Sri Lanka Hotel
160,Nadym,RU,33.17,light rain,65.53,72.52,Apartment on Zvereva
161,Sao Joao Da Barra,BR,70.39,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
164,Luanda,AO,73.4,scattered clouds,-8.84,13.23,EPIC SANA Luanda
165,Greeneville,US,64.0,moderate rain,36.16,-82.83,General Morgan Inn and Conference Center
166,Vagur,FO,47.61,overcast clouds,61.47,-6.81,Vestmanna Hostel
167,Giron,CO,72.55,overcast clouds,7.07,-73.17,Girón Chill Out Hotel Boutique
169,Moose Factory,CA,28.4,clear sky,51.26,-80.61,Cree Village Eco Lodge
170,Diego De Almagro,CL,54.21,clear sky,-26.37,-70.05,hotel luna del desierto
171,Sorland,NO,46.4,broken clouds,67.67,12.69,Sjybrygga fiskecamp
172,Rudnichnyy,RU,41.74,broken clouds,59.62,52.47,
173,Cervo,ES,51.01,broken clouds,43.67,-7.41,Hotel Spa Galatea
174,Polyarnyy,RU,46.4,broken clouds,69.2,33.45,Hotel Tatyana
175,Quatre Cocos,MU,73.99,shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
176,Lyngdal,NO,46.0,scattered clouds,58.14,7.07,Paulsens Hotel & Cafe
177,Yambio,SS,65.28,scattered clouds,4.57,28.4,Kabash Inn
179,Plettenberg Bay,ZA,51.73,scattered clouds,-34.05,23.37,Thanda Vista B&B
180,Alberton,CA,59.23,moderate rain,46.82,-64.07,La Petite France B&B
181,Balkanabat,TM,50.05,clear sky,39.51,54.37,Nebitchi Hotel
183,Caarapo,BR,67.98,few clouds,-22.63,-54.82,Hotel Pousada Quinta do Sul
184,Paamiut,GL,40.87,broken clouds,61.99,-49.67,Yeet Hotel
186,Liverpool,GB,52.0,clear sky,53.41,-2.98,Premier Inn Liverpool City Centre (Moorfields) hotel
187,Pechenga,RU,42.8,broken clouds,69.53,31.17,
188,Saint-Francois,FR,39.99,broken clouds,46.42,3.91,Manoir Du Bonheur
189,Ust-Tarka,RU,43.48,light rain,55.57,75.7,Pearl of Siberia
191,Muros,ES,55.0,clear sky,42.78,-9.06,Apartment Av. Castelao
192,Port Elizabeth,ZA,51.8,scattered clouds,-33.92,25.57,39 On Nile Guest House
193,Khudumelapye,BW,63.84,scattered clouds,-23.88,24.75,
196,Sierpc,PL,46.9,overcast clouds,52.86,19.67,Zajazd Sonata - Restauracja - Hotel - Imprezy okolicznościowe - Sala weselna - Organizacja imprez
197,Waw,SS,70.56,scattered clouds,7.7,28.0,Universal Gab Hotel
198,Maarianhamina,AX,50.0,few clouds,60.1,19.93,Park Alandia Hotel
200,Santa Maria,BR,51.04,clear sky,-29.68,-53.81,Hotel Morotin
201,Rawson,AR,47.52,clear sky,-43.3,-65.1,Hotel Punta León
202,Leh,IN,43.81,clear sky,34.17,77.58,Hotel Ladakh Greens
203,Iguguno,TZ,63.99,few clouds,-4.57,34.63,
204,Brumunddal,NO,37.99,light rain,60.88,10.94,Wood Hotel
205,Lebu,CL,49.17,clear sky,-37.62,-73.65,Hostal Las Lilas
206,Bridlington,GB,48.2,broken clouds,54.08,-0.19,Expanse Bridlington Seafront Hotel
213,Taltal,CL,54.7,scattered clouds,-25.4,-70.48,Residencial Karime
214,Westport,US,68.0,clear sky,41.14,-73.36,The Westport Inn
216,Vredendal,ZA,55.54,clear sky,-31.67,18.5,Tharrakamma Guest House
217,Emirdag,TR,53.78,clear sky,39.02,31.15,emirdağ oteli
218,Lubango,AO,57.13,clear sky,-14.92,13.49,Hotel Serra da Chela
219,Inhambane,MZ,70.0,light rain,-23.86,35.38,Oceano
220,Aripuana,BR,74.98,overcast clouds,-9.17,-60.63,
222,Tocopilla,CL,59.85,few clouds,-22.09,-70.2,Hotel Galvarino
223,Marsa Matruh,EG,68.0,few clouds,31.35,27.25,Beau Site
224,Hualmay,PE,63.09,clear sky,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
226,Podgorica,ME,53.6,scattered clouds,42.44,19.26,Hotel Podgorica
227,Trelew,AR,47.37,clear sky,-43.25,-65.31,Hotel Touring Club
228,Hamilton,US,68.0,overcast clouds,39.18,-84.53,Six Acres Bed & Breakfast
229,Boda,CF,69.6,overcast clouds,4.32,17.47,
233,Muisne,EC,74.07,light rain,0.6,-80.03,Quinta Samay
234,Ndjole,GA,72.84,moderate rain,-0.18,10.76,Motel Kedyann
236,Kamenka,RU,44.01,overcast clouds,51.32,42.77,
237,Honningsvag,NO,47.08,overcast clouds,70.98,25.97,Nordkapp Vandrerhjem
242,Koroni,GR,64.99,clear sky,36.8,21.95,Apartments Xenios Zeus 1
243,Gravina In Puglia,IT,55.99,few clouds,40.82,16.42,Hotel Alta Murgia
244,Prieska,ZA,44.06,clear sky,-29.66,22.75,Avenue GuestHouse
245,Araci,BR,73.42,clear sky,-11.33,-38.97,Pousada Posto Rodagem II
246,Riyadh,SA,64.4,clear sky,24.69,46.72,InterContinental Riyadh
247,Iquique,CL,62.6,overcast clouds,-20.22,-70.14,Backpacker`s Hostel Iquique
248,Ilulissat,GL,46.4,overcast clouds,69.22,-51.1,Hotel Arctic
250,Odienne,CI,71.11,overcast clouds,9.51,-7.57,Oustaz Vame DIAKITE
252,Ous,RU,46.09,overcast clouds,60.91,61.52,
259,Cliza,BO,62.6,broken clouds,-17.6,-65.93,parqueo de autos cliza
260,Ler,SS,70.92,overcast clouds,8.3,30.14,
261,Savyntsi,UA,52.2,overcast clouds,49.4,37.06,
262,Fort-Shevchenko,KZ,51.87,clear sky,44.51,50.26,Oasis hotel Bautino
266,Abha,SA,57.2,clear sky,18.22,42.51,Abha Hotel
