city_id,city,country,date,latitude,longitude,max_temp,humidity,cloudiness,wind_speed,weather_description
61,Santa Maria,CV,2020-10-10 18:37:23,16.6,-22.9,82.4,74,75,20.8,broken clouds
62,Makakilo City,US,2020-10-10 18:40:38,21.35,-158.09,80.6,61,1,3.36,clear sky
63,Östersund,SE,2020-10-10 18:40:38,63.18,14.64,44.6,93,43,2.28,scattered clouds
64,Bend,US,2020-10-10 18:36:10,44.06,-121.32,57.2,62,1,19.46,clear sky
65,São Filipe,CV,2020-10-10 18:40:39,14.9,-24.5,80.71,77,0,6.49,clear sky
66,Tire,TR,2020-10-10 18:40:39,38.09,27.74,68.0,60,0,13.87,clear sky
67,Mékhé,SN,2020-10-10 18:40:39,15.11,-16.62,84.2,79,20,9.17,few clouds
68,Miles City,US,2020-10-10 18:40:39,46.41,-105.84,71.6,21,1,12.75,clear sky
69,Ketchikan,US,2020-10-10 18:40:40,55.34,-131.65,46.4,100,90,5.17,light rain
70,Manzhouli,CN,2020-10-10 18:40:40,49.6,117.43,31.53,94,91,25.97,overcast clouds
71,Iranshahr,IR,2020-10-10 18:40:40,27.2,60.68,80.6,13,0,4.7,clear sky
72,Pangnirtung,CA,2020-10-10 18:40:40,66.15,-65.71,50.0,57,75,17.22,broken clouds
73,Salalah,OM,2020-10-10 18:40:41,17.02,54.09,80.6,61,0,4.7,clear sky
74,Saint Paul Harbor,US,2020-10-10 18:40:41,57.79,-152.41,46.4,75,90,4.7,overcast clouds
75,Mehamn,NO,2020-10-10 18:40:41,71.04,27.85,46.4,89,87,11.81,overcast clouds
76,Hermanus,ZA,2020-10-10 18:40:41,-34.42,19.23,52.0,81,0,1.99,clear sky
77,Puerto Ayora,EC,2020-10-10 18:40:42,-0.74,-90.35,75.2,69,75,17.22,broken clouds
78,Borisoglebskiy,RU,2020-10-10 18:40:42,57.26,39.15,48.2,100,90,2.24,overcast clouds
79,Sur,OM,2020-10-10 18:40:42,22.57,59.53,79.74,46,0,4.83,clear sky
80,Deputatsky,RU,2020-10-10 18:40:42,69.3,139.9,15.3,92,85,2.53,overcast clouds
81,Puerto Baquerizo Moreno,EC,2020-10-10 18:40:43,-0.9,-89.6,73.4,78,75,11.41,broken clouds
82,Te Anau,NZ,2020-10-10 18:40:43,-45.42,167.72,48.0,92,100,2.04,overcast clouds
