City_ID,city,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
176,Kallidaikurichchi,IN,8.67,77.48,82.4,74,40,5.82,scattered clouds
177,Tamale,GH,9.4,-0.84,74.57,93,100,4.43,light rain
178,Tsiroanomandidy,MG,-18.77,46.03,66.58,81,0,0.51,clear sky
179,Santa Cruz Del Sur,CU,20.71,-78.0,80.58,80,78,8.84,broken clouds
180,Longyearbyen,SJ,78.22,15.64,26.6,58,40,10.29,scattered clouds
181,Oum Hadjer,TD,13.3,19.7,83.37,21,1,8.9,clear sky
182,Paamiut,GL,61.99,-49.67,40.66,80,95,21.05,overcast clouds
183,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,70.7,51,9,6.69,clear sky
184,Lircay,PE,-12.99,-74.72,49.19,67,8,4.38,clear sky
185,Chanika,TZ,-5.42,38.02,66.78,91,87,2.55,overcast clouds
186,Qasigiannguit,GL,68.82,-51.19,46.4,49,100,16.11,overcast clouds
187,Ciro Marina,IT,39.37,17.13,67.03,63,49,0.45,scattered clouds
188,Araouane,ML,18.9,-3.53,90.54,29,12,8.37,few clouds
189,Bambous Virieux,MU,-20.34,57.76,73.0,94,40,3.36,shower rain
190,Kamenka,RU,51.32,42.77,44.01,57,100,12.53,overcast clouds
191,Le Port,RE,-20.94,55.29,69.8,77,0,6.93,clear sky
192,Porto Santo,PT,33.07,-16.34,69.8,68,40,8.05,scattered clouds
193,Mahebourg,MU,-20.41,57.7,71.6,94,40,3.36,shower rain
194,Polessk,RU,54.86,21.1,48.2,93,40,6.71,scattered clouds
195,Pascagoula,US,30.37,-88.56,78.8,78,1,4.7,clear sky
196,Muhos,FI,64.81,25.99,46.99,100,20,5.82,few clouds
197,Muros,ES,42.78,-9.06,55.0,79,2,3.0,clear sky
198,Arona,ES,28.1,-16.68,72.0,73,20,8.05,few clouds
199,Inhambane,MZ,-23.86,35.38,70.47,84,100,17.0,overcast clouds
200,Camacha,PT,33.08,-16.33,69.8,68,40,8.05,scattered clouds
201,Oistins,BB,13.07,-59.53,77.0,88,75,17.22,broken clouds
202,Saint-Joseph,RE,-21.37,55.62,70.0,73,2,3.36,clear sky
203,Olafsvik,IS,64.89,-23.71,45.99,74,100,24.56,heavy intensity rain
204,Rio Grande,BR,-32.03,-52.1,50.0,93,0,6.91,light rain
205,Wamba,NG,8.93,8.6,71.28,96,100,2.35,overcast clouds
206,Eyl,SO,7.98,49.82,78.37,79,0,2.57,clear sky
207,Paidha,UG,2.42,30.99,58.08,85,11,4.63,few clouds
208,Hamilton,US,39.18,-84.53,68.0,93,1,3.36,clear sky
209,Tambopata,PE,-12.73,-69.18,82.63,42,57,1.5,broken clouds
210,Sucua,EC,-2.47,-78.17,68.43,75,30,3.44,scattered clouds
211,Bougouni,ML,11.42,-7.48,74.8,77,29,1.68,scattered clouds
212,Cherdyn,RU,60.4,56.48,43.93,97,100,5.37,overcast clouds
213,Wajir,KE,1.75,40.06,75.88,75,68,13.15,broken clouds
214,Koslan,RU,63.46,48.9,47.84,88,100,9.44,overcast clouds
215,Umm Lajj,SA,25.02,37.27,86.59,33,0,7.34,clear sky
216,Talnakh,RU,69.49,88.4,19.4,92,40,13.42,scattered clouds
217,Chardara,KZ,41.25,67.97,45.14,56,0,9.57,clear sky
218,Jalu,LY,29.03,21.55,64.09,63,0,6.26,clear sky
219,Jatai,BR,-17.88,-51.71,79.61,44,49,2.13,scattered clouds
220,Quthing,LS,-30.4,27.7,41.07,68,0,3.65,clear sky
221,Bandarbeyla,SO,9.49,50.81,76.73,79,50,3.67,scattered clouds
222,Corinto,GR,37.94,22.96,62.01,64,0,1.01,clear sky
223,Gorele,TR,41.03,39.0,71.6,73,75,4.7,broken clouds
224,Taltal,CL,-25.4,-70.48,55.06,74,31,1.66,scattered clouds
225,Caibarien,CU,22.52,-79.47,78.8,88,20,3.36,few clouds
226,Dingle,PH,11.0,122.67,81.63,83,100,3.36,light rain
227,Husavik,IS,66.04,-17.34,30.2,92,100,2.24,overcast clouds
228,Benjamin Constant,BR,-4.38,-70.03,77.0,100,20,1.83,light rain
229,Yenagoa,NG,4.92,6.26,74.5,93,100,1.14,overcast clouds
230,Tyukalinsk,RU,55.87,72.2,40.68,95,91,8.55,overcast clouds
231,Hastings,GB,50.86,0.57,46.99,100,81,8.05,broken clouds
232,Sovetskiy,RU,61.36,63.58,42.22,95,100,5.08,overcast clouds
233,Nuuk,GL,64.18,-51.72,41.0,93,92,5.82,overcast clouds
234,Capaci,IT,38.17,13.24,64.0,67,32,6.93,scattered clouds
235,Iquique,CL,-20.22,-70.14,60.8,77,90,1.12,overcast clouds
236,Maragogi,BR,-9.01,-35.22,76.06,84,0,14.85,clear sky
237,Babylon,US,40.7,-73.33,66.99,67,100,3.0,overcast clouds
238,Sal Rei,CV,16.18,-22.92,78.8,78,40,11.41,scattered clouds
239,Cockburn Town,TC,21.46,-71.14,82.53,80,60,17.78,broken clouds
240,Sinnamary,GF,5.38,-52.95,80.19,82,0,9.8,clear sky
241,Usinsk,RU,65.99,57.53,46.49,96,100,16.28,light rain
242,Vestmannaeyjar,IS,63.44,-20.27,48.42,82,100,28.39,moderate rain
243,Alberton,CA,46.82,-64.07,59.13,82,100,23.91,light rain
244,Kozluk,TR,38.19,41.49,48.2,66,80,5.82,broken clouds
245,Samfya,ZM,-11.36,29.56,70.66,68,96,4.38,light rain
246,Caravelas,BR,-17.71,-39.25,77.41,86,69,4.59,broken clouds
247,Tanout,NE,14.97,8.89,86.54,13,42,8.48,scattered clouds
248,Santa Rosa,PH,14.31,121.11,82.4,83,75,3.36,broken clouds
249,Sabha,LY,27.04,14.43,74.39,39,100,11.48,overcast clouds
250,Urengoy,RU,65.97,78.37,27.19,96,100,12.64,overcast clouds
251,Maldonado,UY,-34.67,-54.92,48.2,100,20,5.82,few clouds
252,Castro,BR,-24.79,-50.01,52.57,93,0,8.72,clear sky
253,Buraydah,SA,26.33,43.98,62.6,36,0,3.36,clear sky
254,Chateaubelair,VC,13.28,-61.25,80.6,83,40,12.75,scattered clouds
255,Talara,PE,-4.58,-81.27,65.17,84,1,9.15,clear sky
256,Dolores,AR,-36.31,-57.68,50.29,84,53,6.67,broken clouds
257,Oussouye,SN,12.48,-16.55,79.14,84,0,6.71,clear sky
258,Timra,SE,62.49,17.33,48.2,93,100,4.7,light rain
259,Tucupita,VE,9.06,-62.05,74.77,95,90,2.93,overcast clouds
260,Grindavik,IS,63.84,-22.43,46.4,100,90,31.09,heavy intensity rain
261,Ntungamo,UG,-0.88,29.65,62.2,86,97,3.09,overcast clouds
262,Marsa Matruh,EG,31.35,27.25,68.0,68,20,4.7,few clouds
263,Miandrivazo,MG,-19.52,45.47,74.12,75,0,2.53,clear sky
264,Sao Felix Do Xingu,BR,-6.64,-51.99,78.31,53,18,1.99,few clouds
265,Lahij,YE,13.17,44.58,75.25,65,0,3.8,clear sky
266,Visnes,NO,59.36,5.22,46.99,75,0,4.7,clear sky
267,Codrington,AU,-38.27,141.97,57.42,72,73,8.43,broken clouds
268,Lapa,BR,-25.77,-49.72,54.0,87,20,6.93,few clouds
269,Chambas,CU,22.19,-78.91,82.4,88,22,5.82,light rain
270,Mastic Beach,US,40.77,-72.85,66.2,82,1,11.41,clear sky
271,Podosinovets,RU,60.28,47.07,48.67,93,100,5.88,overcast clouds
272,Oranjestad,AW,12.52,-70.03,84.2,74,20,12.75,few clouds
273,Thompson,CA,55.74,-97.86,30.2,92,90,6.93,overcast clouds
274,Khorixas,NA,-20.37,14.97,46.02,64,0,1.9,clear sky
275,Djambala,CG,-2.54,14.75,66.9,100,100,4.92,light rain
276,Minchinabad,PK,30.16,73.57,76.03,20,0,1.32,clear sky
277,Sabi,GM,13.23,-14.2,75.42,91,0,6.2,clear sky
278,Tessalit,ML,20.2,1.01,87.22,16,98,10.07,overcast clouds
279,Krasnozerskoye,RU,53.98,79.24,40.33,96,100,10.07,light rain
280,Saint-Louis,SN,16.33,-15.0,88.03,52,96,9.86,overcast clouds
281,Odienne,CI,9.51,-7.57,71.28,89,89,1.79,overcast clouds
282,Fairmont,US,39.49,-80.14,64.0,91,100,2.37,overcast clouds
283,Syracuse,IT,37.09,15.28,66.2,93,20,4.7,few clouds
284,Altay,CN,47.87,88.12,31.46,80,8,1.14,clear sky
285,Sarab,IR,38.61,44.99,50.4,53,0,0.63,clear sky
286,Barra Dos Coqueiros,BR,-10.91,-37.04,80.6,78,40,13.87,scattered clouds
287,Coquimbo,CL,-29.95,-71.34,53.6,87,0,4.7,clear sky
288,Chincha Alta,PE,-13.41,-76.13,64.4,77,1,13.87,clear sky
289,Orodel,RO,44.23,23.23,51.8,93,50,2.24,light rain
290,Pangnirtung,CA,66.15,-65.71,35.73,80,96,7.27,overcast clouds
291,Jinka,ET,5.65,36.65,62.89,96,100,1.66,light rain
292,Lokosovo,RU,61.13,74.82,32.43,96,100,8.1,overcast clouds
293,Pisco,PE,-13.7,-76.22,64.4,77,0,13.87,clear sky
294,Oksfjord,NO,70.24,22.35,46.99,93,100,12.75,light rain
295,Pitimbu,BR,-7.47,-34.81,77.0,88,22,6.93,few clouds
296,Harboore,DK,56.62,8.18,45.0,95,84,6.85,light rain
297,Ust-Koksa,RU,50.27,85.61,28.51,86,100,2.59,light snow
298,Empangeni,ZA,-28.76,31.89,59.79,71,100,13.2,overcast clouds
299,Marystown,CA,47.17,-55.15,54.0,100,100,10.0,overcast clouds
300,Buzmeyin,TM,38.05,58.21,41.0,60,0,4.7,clear sky
